Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

S3         JS102000SAQN      2198.425mil   1284.449mil   2253.937mil   1284.449mil    2157.48mil   1195.866mil  T         90.00 JS102000SAQN   
C24        RES_0603              1689mil        980mil       1689mil        980mil   1655.535mil        980mil  T        360.00 06035G104ZAT2A 
C25        RES_0603              1608mil       1085mil       1608mil       1085mil       1608mil   1118.465mil  T        270.00 06035G104ZAT2A 
U6         DGK8                  1736mil       1138mil       1736mil       1138mil   1697.614mil     1052.5mil  T         90.00 DAC8571IDGKR   
TP20       Test_Point_Mt_Hole       1498mil       3944mil       1498mil       3944mil       1498mil       3944mil  T         90.00 loop test point
L2         RES_0603               714mil       3415mil        714mil       3415mil    680.535mil       3415mil  T        360.00 FERRITE BEAD   
C55        RES_0603              1763mil        257mil       1763mil        257mil       1763mil    290.465mil  T        270.00 06035G104ZAT2A 
C54        RES_0603              1476mil        420mil       1476mil        420mil       1476mil    386.535mil  T         90.00 06035G104ZAT2A 
J4         WQP-PJ301M-12_JACK       1070mil     294.47mil       1070mil        324mil       1070mil      68.09mil  T          0.00                
J3         WQP-PJ301M-12_JACK        670mil     294.47mil        670mil        324mil        670mil      68.09mil  T          0.00                
J2         WQP-PJ301M-12_JACK        270mil     294.47mil        270mil        324mil        270mil      68.09mil  T          0.00                
J1         WQP-PJ301M-12_JACK    2072.52mil     294.47mil    2072.52mil        324mil    2072.52mil      68.09mil  T          0.00                
P3         TC2030-MCP             499mil       4013mil        499mil       3913mil        474mil       3963mil  B         90.00 Header 6       
C11        RES_0603               550mil       1078mil        550mil       1078mil    516.535mil       1078mil  T        360.00 06035G104ZAT2A 
U7         TI-DGS10_N            1895mil       3277mil       1895mil       3277mil    1934.37mil   3357.709mil  T        270.00 ADS1118IDGSR   
U4         DDA                 786.26mil    992.677mil    673.071mil   1067.677mil    673.071mil   1067.677mil  T        360.00 TPS54239EDDAR  
TP3        Test_Point_Mt_Hole       1203mil        781mil       1203mil        781mil       1203mil        781mil  T          0.00 loop test point
R12        RES_0603               944mil        850mil        944mil        850mil    977.465mil        850mil  T        180.00 ERA-3AEB2552V  
R11        RES_0603              1015mil        913mil       1015mil        913mil   1048.465mil        913mil  T        180.00 ERA-3AEB8452V  
R10        RES_0805               985mil       1080mil        985mil       1080mil        985mil   1118.386mil  T        270.00 RR1220P-103-D  
R9X        RES_0805           483.741mil   2749.346mil    483.741mil   2749.346mil    483.741mil   2710.961mil  T         90.00 RR1220P-103-D  
R8X        RES_0805           218.542mil   2749.346mil    218.542mil   2749.346mil    218.542mil   2710.961mil  T         90.00 RR1220P-103-D  
R7Y        RES_0805          2019.541mil   2750.346mil   2019.541mil   2750.347mil   2019.541mil   2788.732mil  T        270.00 RR1220P-103-D  
R7X        RES_0805           395.341mil   2749.346mil    395.341mil   2749.347mil    395.341mil   2787.732mil  T        270.00 RR1220P-103-D  
R6X        RES_0805           306.942mil   2749.346mil    306.942mil   2749.346mil    306.942mil   2710.961mil  T         90.00 RR1220P-103-D  
P2         HDR1X8             1171.26mil       4075mil     821.26mil       4075mil     821.26mil       4075mil  T        360.00 PPTC081LFBN-RC 
P1         HDR2X5                 798mil       1464mil        748mil       1264mil        748mil       1264mil  B         90.00 67997-410HLF   
L1         INDPM6060X450N         254mil        968mil        254mil        968mil     163.45mil        968mil  T        360.00 VLS6045EX-3R3N 
D1         SOD123                 650mil   1373.992mil        650mil       1436mil        650mil       1436mil  T        270.00 1N5819HW-7-F   
C18        RES_0603               900mil       1145mil        900mil       1145mil        900mil   1178.465mil  T        270.00 CL10B103KB8NCNC
C17        RES_0603              1015mil        975mil       1015mil        975mil   1048.465mil        975mil  T        180.00 CL10A105KA8NNNC
C16        RES_0805               213mil       1253mil        213mil       1253mil    174.614mil       1253mil  T        360.00 CL21A226KPCLRNC
C15        RES_0805               213mil       1172mil        213mil       1172mil    174.614mil       1172mil  T        360.00 CL21A226KPCLRNC
C14        RES_0603               201mil        792mil        201mil        792mil    167.535mil        792mil  T        360.00 C0603C220J5GACTU
C13        RES_1206               576mil        951mil        576mil        951mil        576mil   1009.071mil  T        270.00 GRT31CR61H106ME01L
C12        RES_1206               560mil       1231mil        560mil       1231mil        560mil   1289.071mil  T        270.00 GRT31CR61H106ME01L
D2         SOD123                 713mil   1904.992mil        713mil       1967mil        713mil       1967mil  T        270.00 1N5819HW-7-F   
C9         CAPAE_UW_J_6.3mm        806mil       2857mil        806mil       2857mil        806mil   2960.347mil  T        270.00 EEE-FK1V470P   
C8         CAPAE_UW_J_6.3mm       1203mil       1184mil       1203mil       1184mil   1099.653mil       1184mil  T        360.00 EEE-FK1V470P   
R13        RES_0603              1626mil       3292mil       1626mil       3292mil   1659.465mil       3292mil  T        180.00 CRGP0603F56R   
R8Y        RES_0805          1845.942mil   2750.346mil   1845.942mil   2750.346mil   1845.942mil   2711.961mil  T         90.00 RR1220P-103-D  
R6Y        RES_0805          1932.742mil   2750.346mil   1932.742mil   2750.346mil   1932.742mil   2711.961mil  T         90.00 RR1220P-103-D  
C1         RES_0603              1510mil        152mil       1510mil        152mil   1476.535mil        152mil  T        360.00 CC0603JRNPO9BN101
C2         RES_0603              1615mil        522mil       1615mil        522mil   1581.535mil        522mil  T        360.00 06031A470FAT2A 
C3         RES_1206              1410mil        239mil       1410mil        239mil   1468.071mil        239mil  T        180.00 GRT31CR61H106ME01L
C4         RES_0603              1682mil        156mil       1682mil        156mil   1715.465mil        156mil  T        180.00 CC0603JRNPO9BN101
C7         RES_0603              1903mil        955mil       1903mil        955mil       1903mil    921.535mil  T         90.00 06035G104ZAT2A 
C10        RES_0805              2104mil        939mil       2104mil        939mil       2104mil    900.614mil  T         90.00 CL21A475KACLRNC
C19        RES_0603              1889mil       3438mil       1889mil       3438mil   1855.535mil       3438mil  T        360.00 06035G104ZAT2A 
C20        RES_0603              1788mil       3389mil       1788mil       3389mil       1788mil   3355.535mil  T         90.00 06035G104ZAT2A 
C21        RES_0603              1784mil       3230mil       1784mil       3230mil       1784mil   3196.535mil  T         90.00 06035G104ZAT2A 
C22        RES_0603              1824mil       3068mil       1824mil       3068mil       1824mil   3101.465mil  T        270.00 06035G104ZAT2A 
C23        RES_0603               925mil       3238mil        925mil       3238mil    958.465mil       3238mil  T        180.00 06035G104ZAT2A 
C26        RES_0603              1887mil       3068mil       1887mil       3068mil       1887mil   3034.535mil  T         90.00 06035G104ZAT2A 
C27        RES_0603               584mil       3635mil        584mil       3635mil        584mil   3601.535mil  T         90.00 CL10B103KB8NCNC
C28        RES_0805              1438mil       3731mil       1438mil       3731mil   1476.386mil       3731mil  T        180.00 C2012JB1E225M125AC
C29        RES_0805              1240mil       3247mil       1240mil       3247mil       1240mil   3208.614mil  T         90.00 C2012JB1E225M125AC
C30        RES_1206              1389mil       3226mil       1389mil       3226mil       1389mil   3284.071mil  T        270.00 GRT31CR61H106ME01L
C31        RES_0603               854mil       3302mil        854mil       3302mil    820.535mil       3302mil  T        360.00 06035G104ZAT2A 
C32        RES_0603              1310mil       3251mil       1310mil       3251mil       1310mil   3217.535mil  T         90.00 06035G104ZAT2A 
C33        RES_0603              1433mil       3801mil       1433mil       3801mil   1466.465mil       3801mil  T        180.00 06035G104ZAT2A 
C34        RES_0603               871mil       3897mil        871mil       3897mil    837.535mil       3897mil  T        360.00 06035G104ZAT2A 
C35        RES_0603               770mil       3831mil        770mil       3831mil        770mil   3864.465mil  T        270.00 06035G104ZAT2A 
C36        RES_0603               712mil       3541mil        712mil       3541mil    678.535mil       3541mil  T        360.00 CL10A105KA8NNNC
C37        RES_0603               713mil       3478mil        713mil       3478mil    679.535mil       3478mil  T        360.00 06035G104ZAT2A 
C44        RES_0603          1815.071mil   3943.937mil   1815.071mil   3943.937mil   1781.606mil   3943.937mil  T        360.00 06035G104ZAT2A 
C45        RES_0805          1819.882mil    4078.74mil   1819.882mil    4078.74mil   1781.496mil    4078.74mil  T        360.00 CL21A475KACLRNC
D3         LED_GRN/RED        1171.27mil       2783mil    1171.27mil       2683mil    1171.27mil       2883mil  T         90.00 SSL-LX3059IGW  
R1         RES_0603              1752mil        522mil       1752mil        522mil   1785.465mil        522mil  T        180.00 RR0816P-104-D  
R2         RES_0603              1437mil        318mil       1437mil        318mil   1470.465mil        318mil  T        180.00 ERA-3AEB2492V  
R3         RES_0603              1510mil         87mil       1510mil         87mil   1543.465mil         87mil  T        180.00 ERA-3AEB393V   
R4         RES_0603              1683mil         88mil       1683mil         88mil   1716.465mil         88mil  T        180.00 ERA-3AEB393V   
R5         RES_0603              1682mil        586mil       1682mil        586mil   1715.465mil        586mil  T        180.00 RR0816P-102-D  
R14        RES_0603              1626mil       3356mil       1626mil       3356mil   1659.465mil       3356mil  T        180.00 CRGP0603F56R   
R15        RES_0603              1384mil       2983mil       1384mil       2983mil   1417.465mil       2983mil  T        180.00 CRGP0603F56R   
R16        RES_0603              1803mil       1309mil       1803mil       1309mil   1836.465mil       1309mil  T        180.00 RR0816P-102-D  
R17        RES_0603              1668mil       1309mil       1668mil       1309mil   1634.535mil       1309mil  T        360.00 RR0816P-102-D  
R18        RES_0603              1762mil       3068mil       1762mil       3068mil       1762mil   3101.465mil  T        270.00 CRGP0603F56R   
R19        RES_0603              1413mil   2770.465mil       1413mil   2770.465mil       1413mil   2803.929mil  T        270.00 CRGP0603F56R   
R20        RES_0603              1614mil        781mil       1614mil        781mil       1614mil    747.535mil  T         90.00 RC0603JR-070RL 
R21        RES_0603              1551mil        781mil       1551mil        781mil       1551mil    747.535mil  T         90.00 RC0603JR-070RL 
R22        RES_0603              2002mil       3410mil       2002mil       3410mil       2002mil   3376.535mil  T         90.00 CRGP0603F56R   
R23        RES_0603              2039mil       3244mil       2039mil       3244mil   2005.535mil       3244mil  T        360.00 CRGP0603F56R   
R24        RES_0603              1626mil       3208mil       1626mil       3208mil   1659.465mil       3208mil  T        180.00 CRGP0603F56R   
R25        RES_0603              2068mil       3410mil       2068mil       3410mil       2068mil   3376.535mil  T         90.00 CRGP0603F56R   
R26        RES_0603              1079mil       2717mil       1079mil       2717mil       1079mil   2683.535mil  T         90.00 ERJ-3EKF54R9V  
R27        RES_0805              1705mil       3584mil       1705mil       3584mil   1743.386mil       3584mil  T        180.00 RR1220P-103-D  
R28        RES_1206              1282mil       2797mil       1282mil       2797mil       1282mil   2738.929mil  T         90.00 RC1206FR-0764R9L
TP4        Test_Point_Mt_Hole       2195mil        624mil       2195mil        624mil       2195mil        624mil  T          0.00 loop test point
TP2        Test_Point_Mt_Hole       1967mil       1134mil       1967mil       1134mil       1967mil       1134mil  T          0.00 loop test point
TP18       Test_Point_Mt_Hole       2195mil        767mil       2195mil        767mil       2195mil        767mil  T          0.00 loop test point
TP12       Test_Point_Mt_Hole       2264mil       3467mil       2264mil       3467mil       2264mil       3467mil  T         90.00 loop test point
TP13       Test_Point_Mt_Hole       2133mil       3116mil       2133mil       3116mil       2133mil       3116mil  T         90.00 loop test point
TP14       Test_Point_Mt_Hole       2133mil       3008mil       2133mil       3008mil       2133mil       3008mil  T         90.00 loop test point
TP15       Test_Point_Mt_Hole       2264mil       3366mil       2264mil       3366mil       2264mil       3366mil  T         90.00 loop test point
U1         TI-D8_N               1619mil        338mil       1619mil        338mil       1544mil    243.512mil  T         90.00 TL072CDT       
U5         STM-LQFP64_N          1083mil       3601mil       1083mil       3601mil    864.496mil   3748.638mil  T        360.00 STM32F405RGT6  
U8         ASE-8.000MHZ-LC-T    708.032mil       3636mil        710mil       3636mil    666.693mil    3603.52mil  T        360.00 ASE-8.000MHZ-LC-T
R9Y        RES_0805              2104mil   2750.346mil       2104mil   2750.346mil       2104mil   2711.961mil  T         90.00 RR1220P-103-D  
C5X        RES_0603               142mil   2754.228mil        142mil   2754.228mil        142mil   2720.764mil  T         90.00 06035G104ZAT2A 
C5Y        RES_0603              1770mil       2755mil       1770mil       2755mil       1770mil   2721.535mil  T         90.00 06035G104ZAT2A 
C6X        RES_0603               560mil   2754.228mil        560mil   2754.228mil        560mil   2720.764mil  T         90.00 06035G104ZAT2A 
C6Y        RES_0603              2181mil       2755mil       2181mil       2755mil       2181mil   2721.535mil  T         90.00 06035G104ZAT2A 
U3         LM4132CQ1MFT2.5   2001.402mil    937.181mil       1964mil        886mil       1964mil        886mil  T         90.00 LM4132CQ1MFT2.5
R37        P0915NEC15BR100K   1171.265mil   2228.284mil    1072.84mil   2080.644mil    1072.84mil   2080.644mil  T          0.00 POT            
R38        P0915NEC15BR100K   1171.265mil   1599.606mil    1072.84mil   1451.966mil    1072.84mil   1451.966mil  T          0.00 POT            
U2_EX      ENC5                354.33mil   2332.677mil    255.905mil   2047.244mil    255.905mil   2047.244mil  T         90.00 PEC11L-4120F-S0020
U2_EY      ENC5              1988.189mil   2332.677mil   1889.764mil   2047.244mil   1889.764mil   2047.244mil  T         90.00 PEC11L-4120F-S0020
C38        RES_0603               213mil       3107mil        213mil       3107mil    246.465mil       3107mil  T        180.00 06035G104ZAT2A 
C39        RES_0603               261mil       3321mil        261mil       3321mil    227.535mil       3321mil  T        360.00 CL10A105KA8NNNC
C40        RES_0603              1504mil       2119mil       1504mil       2119mil       1504mil   2085.535mil  T         90.00 06035G104ZAT2A 
C41        RES_0603               110mil       3542mil        110mil       3542mil        110mil   3575.465mil  T        270.00 CL10A105KA8NNNC
C42        RES_0603              1501mil       1505mil       1501mil       1505mil       1501mil   1471.535mil  T         90.00 06035G104ZAT2A 
D4         SOT23                  389mil       3658mil        389mil       3658mil    426.402mil   3702.291mil  T        270.00 SCHOTTKY DIODE ARRAY
R29        RES_0603               213mil       2983mil        213mil       2983mil    246.465mil       2983mil  T        180.00 RR1220P-103-D  
R30        RES_0603               213mil       3045mil        213mil       3045mil    179.535mil       3045mil  T        360.00 RR0816P-102-D  
R31        RES_0603               112mil       3283mil        112mil       3283mil        112mil   3316.465mil  T        270.00 RR0816P-104-D  
R32        RES_0603               114mil       3018mil        114mil       3018mil        114mil   3051.465mil  T        270.00 RR0816P-104-D  
R33        RES_0603              1318mil    744.465mil       1318mil    744.465mil       1318mil        711mil  T         90.00 ERA-3AEB393V   
R34        RES_0603               354mil       3214mil        354mil       3214mil        354mil   3247.465mil  T        270.00 RR0816P-104-D  
R35        RES_0603               417mil       3214mil        417mil       3214mil        417mil   3247.465mil  T        270.00 RR0816P-104-D  
